FINAL_CBSA_OLD,FINAL_CBSA_NEW,POP_CBSA_OLD,POP_CBSA_NEW,WAGE_CBSA_OLD,WAGE_CBSA_NEW,RENT_CBSA_OLD,hud_area_code_old,hud_area_code_new,METRO_NAME
,26900,,,11300,26900,11300,METRO11300M11300,METRO26900M11300,"Anderson, IN"
,24860,,,,,11340,METRO11340M11340,METRO24860M11340,"Anderson, SC"
70750,12620,12620,12620,70750,12620,12620,METRO12620M12620,METRO12620MM0730,"Bangor, ME"
70900,12700,12700,12700,70900,12700,12700,METRO12700M12700,METRO12700M12700,"Barnstable Town, MA"
,,,,,,,METRO14010M14060,METRO14010M14010,"Bloomington, IL"
14060,14010,14060,14010,14060,14010,14060,METRO14060M14060,METRO14010M14010,"Bloomington, IL"
71654,14460,14460,14460,71654,14460,14460,METRO14460MM1120,METRO14460MM1120,"Boston-Cambridge-Quincy, MA NECTA Division"
72104,14460,14460,14460,72104,14460,14460,METRO14460MM1200,METRO14460MM1200,"Brockton-Bridgewater-Easton, MA NECTA Division"
76900,14460,14460,14460,76900,14460,14460,METRO14460MM6450,METRO14460MM6450,"Portsmouth, NH-ME"
77350,14460,14460,14460,77350,14460,14460,METRO14460MM6450,METRO14460MM6450,"Rochester-Dover, NH-ME"
72850,14860,14860,14860,72850,14860,14860,METRO14860M14860,METRO14860MM1930,"Danbury, CT"
71950,14860,14860,14860,71950,14860,14860,METRO14860MM1160,METRO14860MM1160,"Bridgeport-Stamford-Norwalk, CT"
72400,15540,15540,15540,72400,15540,15540,METRO15540M15540,METRO15540M15540,"Burlington-South Burlington, VT"
15680,30500,30500,30500,15680,30500,15680,METRO15680M15680,METRO15680M15680,"Lexington Park, MD"
16974,16980,16980,16980,16974,16980,16980,METRO16980M16980,METRO16980M16980,"Chicago-Naperville-Elgin, IL-IN"
17410,17460,17460,17410,17460,17410,17460,METRO17460M17460,METRO17460M17460,"Cleveland, OH"
19124,19100,19100,19100,19124,19100,19100,METRO19100M19100,METRO19100M19100,"Dallas-Plano-Irving, TX Metropolitan Division"
23104,19100,19100,19100,23104,19100,19100,METRO19100MM2800,METRO19100MM2800,"Fort Worth-Arlington, TX Metropolitan Division"
19380,19430,19380,19430,19380,19430,19380,METRO19380M19380,METRO19430M19430,"Dayton, OH"
19804,19820,19820,19820,19804,19820,19820,METRO19820M19820,METRO19820M19820,"Detroit-Livonia-Dearborn, MI Metropolitan Division"
47644,19820,19820,19820,47644,19820,19820,METRO19820M19820,METRO19820M19820,"Warren-Troy-Farmington Hills, MI Metropolitan Division"
23020,18880,23020,18880,23020,18880,23020,METRO23020M23020,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL"
73450,25540,25540,25540,73450,25540,25540,METRO25540M25540,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT"
26090,24340,26100,26090,26100,24340,26100,METRO26100M26100,METRO24340M26100,"Holland-Grand Haven, MI MSA"
26180,46520,26180,46520,26180,46520,26180,METRO26180M26180,METRO46520M46520,"Honolulu, HI"
29140,29200,29140,29200,29140,29200,29140,METRO29140M29140,METRO29200M29140,"Lafayette-West Lafayette, IN"
74650,30340,30340,30340,74650,30340,30340,METRO30340M30340,METRO30340M30340,"Lewiston-Auburn, ME"
31084,31080,31100,31080,31084,31080,31100,METRO31100MM4480,METRO31080MM4480,"Los Angeles-Long Beach-Anaheim, CA"
,,,,11244,31080,,METRO31100MM5945,METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division"
42044,31080,42044,31080,42044,31080,31100,METRO31100MM5945,METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division"
74950,31700,31700,31700,74950,31700,31700,METRO31700M31700,METRO31700MM4760,"Manchester, NH"
75404,31700,31700,31700,75404,31700,31700,METRO31700MM5350,METRO31700MM5350,"Nashua, NH-MA NECTA Division"
22744,33100,33100,33100,22744,33100,33100,METRO33100M33100,METRO33100MM2680,"Fort Lauderdale-Pompano Beach-Sunrise, FL"
33124,33100,33100,33100,33124,33100,33100,METRO33100M33100,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL"
48424,33100,33100,33100,48424,33100,33100,METRO33100MM8960,METRO33100MM8960,"West Palm Beach-Boca Raton-Boynton Beach, FL"
75700,35300,35300,35300,75700,35300,35300,METRO35300MM5480,METRO35300MM5480,"New Haven, CT"
47930,35300,47930,35300,78700,35300,35300,METRO35300MM8880,METRO35300MM8880,"Waterbury-Shelton, CT"
35644,35620,35620,35620,35644,35620,35620,METRO35620M35620,METRO35620MM5600,"New York-White Plains-Wayne, NY-NJ Metropolitan Division"
35004,35620,35620,35620,35004,35620,35620,METRO35620MM5380,METRO35620MM5380,"Nassau-Suffolk, NY Metropolitan Division"
35084,35620,35620,35620,35084,35620,35620,METRO35620MM5640,METRO35620MM5640,"Newark-Union, NJ-PA Metropolitan Division"
76450,35980,35980,35980,76450,35980,35980,METRO35980M35980,METRO35980M35980,"Norwich-New London-Willimantic, CT"
48864,37980,37980,37980,48864,37980,37980,METRO37980M37980,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
76600,38340,38340,38340,76600,38340,38340,METRO38340M38340,METRO38340M38340,"Pittsfield, MA"
76750,38860,38860,38860,76750,38860,38860,METRO38860MM6400,METRO38860MM6400,"Portland-South Portland-Biddeford, ME"
39100,28880,39100,28880,39100,28880,39100,METRO39100M39100,METRO39100M39100,"Kiryas Joel-Poughkeepsie-Newburgh, NY"
