State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
1,METRO11500M11500,"Anniston-Oxford, AL MSA",495,518,681,880,916,AL,118572
1,METRO12220M12220,"Auburn-Opelika, AL MSA",515,519,702,967,1186,AL,140247
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",605,723,857,1126,1266,AL,1017381
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",451,506,639,855,1132,AL,43643
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",482,493,597,825,1002,AL,67023
1,METRO17980M17980,"Columbus, GA-AL MSA",580,680,806,1110,1428,AL,52947
1,METRO19460M19460,"Decatur, AL MSA",457,552,655,908,936,AL,153829
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",429,459,591,788,974,AL,128337
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",338,361,465,685,766,AL,17302
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",474,477,609,813,816,AL,147137
1,METRO23460M23460,"Gadsden, AL MSA",422,545,710,884,997,AL,104430
1,METRO26620M26620,"Huntsville, AL MSA",508,568,701,964,1019,AL,417593
1,METRO33660M33660,"Mobile, AL MSA",665,694,823,1103,1268,AL,412992
1,METRO33860M33860,"Montgomery, AL MSA",685,724,860,1183,1406,AL,374536
1,METRO46220M46220,"Tuscaloosa, AL MSA",494,628,831,1043,1184,AL,219461
1,NCNTY01003N01003,"Baldwin County, AL",509,663,786,1158,1360,AL,182265
1,NCNTY01005N01005,"Barbour County, AL",458,461,624,777,834,AL,27457
1,NCNTY01011N01011,"Bullock County, AL",384,403,478,632,847,AL,10914
1,NCNTY01013N01013,"Butler County, AL",441,444,583,846,870,AL,20947
1,NCNTY01017N01017,"Chambers County, AL",501,505,683,851,1015,AL,34215
1,NCNTY01019N01019,"Cherokee County, AL",420,437,523,771,780,AL,25989
1,NCNTY01023N01023,"Choctaw County, AL",555,559,756,942,1128,AL,13859
1,NCNTY01025N01025,"Clarke County, AL",447,450,581,811,864,AL,25833
1,NCNTY01027N01027,"Clay County, AL",402,405,541,725,728,AL,13932
1,NCNTY01029N01029,"Cleburne County, AL",509,512,693,863,926,AL,14972
1,NCNTY01031N01031,"Coffee County, AL",518,522,669,907,937,AL,49948
1,NCNTY01035N01035,"Conecuh County, AL",464,467,606,893,897,AL,13228
1,NCNTY01037N01037,"Coosa County, AL",467,491,582,725,778,AL,11539
1,NCNTY01039N01039,"Covington County, AL",465,468,606,876,972,AL,37765
1,NCNTY01041N01041,"Crenshaw County, AL",449,452,611,861,912,AL,13906
1,NCNTY01043N01043,"Cullman County, AL",496,505,618,779,826,AL,80406
1,NCNTY01045N01045,"Dale County, AL",431,507,647,943,1132,AL,50251
1,NCNTY01047N01047,"Dallas County, AL",415,481,651,833,1061,AL,43820
1,NCNTY01049N01049,"DeKalb County, AL",366,476,616,770,982,AL,71109
1,NCNTY01053N01053,"Escambia County, AL",515,537,637,793,926,AL,38319
1,NCNTY01057N01057,"Fayette County, AL",444,466,553,726,979,AL,17241
1,NCNTY01059N01059,"Franklin County, AL",448,451,610,760,910,AL,31704
1,NCNTY01071N01071,"Jackson County, AL",483,508,602,750,824,AL,53227
1,NCNTY01075N01075,"Lamar County, AL",444,466,553,689,825,AL,14564
1,NCNTY01087N01087,"Macon County, AL",547,551,745,928,1055,AL,21452
1,NCNTY01091N01091,"Marengo County, AL",481,484,607,807,811,AL,21027
1,NCNTY01093N01093,"Marion County, AL",387,395,482,700,702,AL,30776
1,NCNTY01095N01095,"Marshall County, AL",532,535,712,981,984,AL,93019
1,NCNTY01099N01099,"Monroe County, AL",449,472,560,825,992,AL,23068
1,NCNTY01105N01105,"Perry County, AL",424,427,554,808,827,AL,10591
1,NCNTY01107N01107,"Pickens County, AL",465,468,633,788,846,AL,19746
1,NCNTY01109N01109,"Pike County, AL",504,526,624,916,919,AL,32899
1,NCNTY01111N01111,"Randolph County, AL",533,536,678,844,906,AL,22913
1,NCNTY01119N01119,"Sumter County, AL",519,546,647,806,908,AL,13763
1,NCNTY01121N01121,"Talladega County, AL",429,432,584,797,800,AL,82291
1,NCNTY01123N01123,"Tallapoosa County, AL",467,470,593,808,811,AL,41616
1,NCNTY01129N01129,"Washington County, AL",447,470,557,821,836,AL,17581
1,NCNTY01131N01131,"Wilcox County, AL",422,425,575,716,768,AL,11670
1,NCNTY01133N01133,"Winston County, AL",424,446,529,724,937,AL,24484
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",780,903,1156,1703,2047,AK,291826
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",689,797,1055,1555,1869,AK,88995
2,METRO21820M21820,"Fairbanks, AK MSA",741,920,1245,1835,2138,AK,97581
2,NCNTY02013N02013,"Aleutians East Borough, AK",646,759,900,1121,1300,AK,3141
2,NCNTY02016N02016,"Aleutians West Census Area, AK",984,1223,1654,2060,2388,AK,5561
2,NCNTY02050N02050,"Bethel Census Area, AK",1040,1191,1611,2006,2153,AK,17013
2,NCNTY02060N02060,"Bristol Bay Borough, AK",802,826,1117,1502,1508,AK,997
2,NCNTY02068N02068,"Denali Borough, AK",844,992,1176,1733,1739,AK,1826
2,NCNTY02070N02070,"Dillingham Census Area, AK",875,1027,1218,1517,1759,AK,4847
2,NCNTY02100N02100,"Haines Borough, AK",654,738,911,1342,1347,AK,2508
2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",712,732,991,1234,1530,AK,2150
2,NCNTY02110N02110,"Juneau City and Borough, AK",853,1034,1399,1831,2176,AK,31275
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",709,752,942,1181,1544,AK,55400
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",698,901,1173,1728,1876,AK,13477
2,NCNTY02150N02150,"Kodiak Island Borough, AK",762,897,1122,1653,1987,AK,13592
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",604,709,841,1130,1490,AK,1631
2,NCNTY02180N02180,"Nome Census Area, AK",929,1155,1562,1945,2087,AK,9492
2,NCNTY02185N02185,"North Slope Borough, AK",813,1024,1214,1512,1946,AK,9430
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",1064,1111,1317,1640,1760,AK,7523
2,NCNTY02195N02195,"Petersburg Census Area, AK",722,744,1006,1253,1782,AK,3815
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",703,707,957,1192,1279,AK,5559
2,NCNTY02220N02220,"Sitka City and Borough, AK",916,972,1315,1832,1899,AK,8881
2,NCNTY02230N02230,"Skagway Municipality, AK",860,1010,1197,1491,1728,AK,968
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",768,907,1202,1497,2067,AK,7029
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",722,764,955,1344,1453,AK,9636
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",704,827,980,1221,1415,AK,7459
2,NCNTY02275N02275,"Wrangell City and Borough, AK",603,655,840,1238,1242,AK,2369
