State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
1,METRO11500M11500,"Anniston-Oxford, AL MSA",521,545,716,925,963,AL,118572
1,METRO12220M12220,"Auburn-Opelika, AL MSA",636,641,867,1194,1465,AL,140247
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",595,712,844,1109,1247,AL,1017381
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",430,483,609,815,1079,AL,43643
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",540,551,668,923,1121,AL,67023
1,METRO17980M17980,"Columbus, GA-AL MSA",588,689,817,1126,1447,AL,52947
1,METRO19460M19460,"Decatur, AL MSA",495,598,709,983,1013,AL,153829
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",494,529,681,908,1122,AL,128337
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",444,475,612,902,1009,AL,17302
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",505,508,649,867,870,AL,147137
1,METRO23460M23460,"Gadsden, AL MSA",394,508,662,824,930,AL,104430
1,METRO26620M26620,"Huntsville, AL MSA",554,619,764,1051,1111,AL,417593
1,METRO33660M33660,"Mobile, AL MSA",670,699,829,1111,1277,AL,412992
1,METRO33860M33860,"Montgomery, AL MSA",673,711,845,1162,1381,AL,374536
1,METRO46220M46220,"Tuscaloosa, AL MSA",481,611,808,1014,1151,AL,219461
1,NCNTY01003N01003,"Baldwin County, AL",538,701,831,1225,1438,AL,182265
1,NCNTY01005N01005,"Barbour County, AL",523,527,713,888,953,AL,27457
1,NCNTY01011N01011,"Bullock County, AL",481,505,599,791,1061,AL,10914
1,NCNTY01013N01013,"Butler County, AL",453,456,599,870,894,AL,20947
1,NCNTY01017N01017,"Chambers County, AL",543,546,739,920,1098,AL,34215
1,NCNTY01019N01019,"Cherokee County, AL",558,580,695,1024,1037,AL,25989
1,NCNTY01023N01023,"Choctaw County, AL",549,553,748,932,1116,AL,13859
1,NCNTY01025N01025,"Clarke County, AL",461,464,599,836,891,AL,25833
1,NCNTY01027N01027,"Clay County, AL",445,448,599,803,806,AL,13932
1,NCNTY01029N01029,"Cleburne County, AL",534,537,727,905,972,AL,14972
1,NCNTY01031N01031,"Coffee County, AL",518,522,669,907,937,AL,49948
1,NCNTY01035N01035,"Conecuh County, AL",459,462,599,883,886,AL,13228
1,NCNTY01037N01037,"Coosa County, AL",493,519,615,766,822,AL,11539
1,NCNTY01039N01039,"Covington County, AL",491,495,640,925,1027,AL,37765
1,NCNTY01041N01041,"Crenshaw County, AL",440,443,599,845,894,AL,13906
1,NCNTY01043N01043,"Cullman County, AL",522,531,650,819,869,AL,80406
1,NCNTY01045N01045,"Dale County, AL",429,505,644,938,1127,AL,50251
1,NCNTY01047N01047,"Dallas County, AL",387,449,607,777,990,AL,43820
1,NCNTY01049N01049,"DeKalb County, AL",435,565,731,914,1166,AL,71109
1,NCNTY01053N01053,"Escambia County, AL",497,519,615,766,894,AL,38319
1,NCNTY01057N01057,"Fayette County, AL",481,505,599,786,1061,AL,17241
1,NCNTY01059N01059,"Franklin County, AL",449,452,611,761,912,AL,31704
1,NCNTY01071N01071,"Jackson County, AL",501,526,624,777,855,AL,53227
1,NCNTY01075N01075,"Lamar County, AL",481,505,599,746,894,AL,14564
1,NCNTY01087N01087,"Macon County, AL",458,461,624,777,884,AL,21452
1,NCNTY01091N01091,"Marengo County, AL",475,478,599,796,801,AL,21027
1,NCNTY01093N01093,"Marion County, AL",481,491,599,869,872,AL,30776
1,NCNTY01095N01095,"Marshall County, AL",458,461,613,845,848,AL,93019
1,NCNTY01099N01099,"Monroe County, AL",481,505,599,883,1061,AL,23068
1,NCNTY01105N01105,"Perry County, AL",459,462,599,874,894,AL,10591
1,NCNTY01107N01107,"Pickens County, AL",440,443,600,747,802,AL,19746
1,NCNTY01109N01109,"Pike County, AL",530,553,656,963,966,AL,32899
1,NCNTY01111N01111,"Randolph County, AL",515,519,656,817,877,AL,22913
1,NCNTY01119N01119,"Sumter County, AL",530,558,661,823,927,AL,13763
1,NCNTY01121N01121,"Talladega County, AL",480,483,654,893,896,AL,82291
1,NCNTY01123N01123,"Tallapoosa County, AL",490,493,622,847,850,AL,41616
1,NCNTY01129N01129,"Washington County, AL",481,505,599,883,899,AL,17581
1,NCNTY01131N01131,"Wilcox County, AL",440,443,599,746,801,AL,11670
1,NCNTY01133N01133,"Winston County, AL",481,505,599,820,1061,AL,24484
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",866,1002,1283,1891,2272,AK,291826
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",694,803,1063,1566,1883,AK,88995
2,METRO21820M21820,"Fairbanks, AK MSA",878,1091,1476,2175,2535,AK,97581
2,NCNTY02013N02013,"Aleutians East Borough, AK",660,775,919,1145,1327,AK,3141
2,NCNTY02016N02016,"Aleutians West Census Area, AK",929,1155,1562,1945,2255,AK,5561
2,NCNTY02050N02050,"Bethel Census Area, AK",911,1042,1410,1756,1884,AK,17013
2,NCNTY02060N02060,"Bristol Bay Borough, AK",876,902,1220,1641,1647,AK,997
2,NCNTY02068N02068,"Denali Borough, AK",997,1172,1389,2047,2054,AK,1826
2,NCNTY02070N02070,"Dillingham Census Area, AK",813,955,1132,1410,1635,AK,4847
2,NCNTY02100N02100,"Haines Borough, AK",673,759,937,1381,1385,AK,2508
2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",564,581,786,979,1214,AK,2150
2,NCNTY02110N02110,"Juneau City and Borough, AK",822,996,1348,1764,2097,AK,31275
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",708,751,940,1178,1540,AK,55400
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",695,897,1168,1721,1868,AK,13477
2,NCNTY02150N02150,"Kodiak Island Borough, AK",723,852,1065,1569,1886,AK,13592
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",570,670,794,1067,1406,AK,1631
2,NCNTY02180N02180,"Nome Census Area, AK",854,1061,1436,1788,1919,AK,9492
2,NCNTY02185N02185,"North Slope Borough, AK",851,1073,1272,1584,2039,AK,9430
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",1120,1169,1386,1726,1852,AK,7523
2,NCNTY02195N02195,"Petersburg Census Area, AK",719,740,1001,1247,1773,AK,3815
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",719,724,979,1219,1308,AK,5559
2,NCNTY02220N02220,"Sitka City and Borough, AK",850,902,1220,1699,1762,AK,8881
2,NCNTY02230N02230,"Skagway Municipality, AK",893,1049,1244,1549,1796,AK,968
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",650,768,1018,1268,1751,AK,7029
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",788,834,1042,1467,1585,AK,9636
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",654,768,911,1135,1315,AK,7459
2,NCNTY02275N02275,"Wrangell City and Borough, AK",610,663,850,1253,1257,AK,2369
2,NCNTY02282N02282,"Yakutat City and Borough, AK",650,706,905,1334,1603,AK,662
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",621,638,769,958,1193,AK,5588
4,METRO22380M22380,"Flagstaff, AZ MSA",834,968,1212,1538,1960,AZ,134421
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",505,624,797,1081,1250,AZ,200186
4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",620,782,966,1423,1662,AZ,4192887
4,METRO39140M39140,"Prescott, AZ MSA",590,670,847,1248,1319,AZ,211033
4,METRO46060M46060,"Tucson, AZ MSA",522,652,877,1288,1532,AZ,980263
4,METRO49740M49740,"Yuma, AZ MSA",647,692,913,1345,1541,AZ,195751
4,NCNTY04001N04001,"Apache County, AZ",399,487,659,825,991,AZ,71518
4,NCNTY04003N04003,"Cochise County, AZ",641,663,829,1197,1468,AZ,131346
4,NCNTY04007N04007,"Gila County, AZ",663,690,930,1343,1575,AZ,53597
4,NCNTY04009N04009,"Graham County, AZ",478,674,803,1183,1187,AZ,37220
4,NCNTY04011N04011,"Greenlee County, AZ",515,534,723,900,966,AZ,8437
4,NCNTY04012N04012,"La Paz County, AZ",568,589,797,993,1237,AZ,20489
4,NCNTY04017N04017,"Navajo County, AZ",574,578,782,1103,1114,AZ,107449
4,NCNTY04023N04023,"Santa Cruz County, AZ",573,648,804,1014,1424,AZ,47420
5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",520,594,764,1126,1328,AR,440121
5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",517,520,682,909,1024,AR,187692
5,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",469,472,639,823,960,AR,18125
5,METRO26300M26300,"Hot Springs, AR MSA",506,628,850,1131,1388,AR,96024
5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",402,535,661,929,932,AR,96443
5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",366,446,584,856,1008,AR,24583
5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",572,661,794,1110,1232,AR,681904
5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",421,493,584,861,1034,AR,17853
5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",659,752,892,1219,1359,AR,50902
5,METRO38220M38220,"Pine Bluff, AR MSA",439,517,688,862,1054,AR,100258
5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",512,665,817,1018,1092,AR,43462
5,NCNTY05001N05001,"Arkansas County, AR",460,463,627,781,889,AR,19019
5,NCNTY05003N05003,"Ashley County, AR",429,432,584,791,794,AR,21853
5,NCNTY05005N05005,"Baxter County, AR",482,489,653,957,1157,AR,41513
5,NCNTY05009N05009,"Boone County, AR",465,469,634,885,1064,AR,36903
5,NCNTY05011N05011,"Bradley County, AR",413,434,587,852,855,AR,11508
5,NCNTY05013N05013,"Calhoun County, AR",472,475,643,801,973,AR,5368
5,NCNTY05015N05015,"Carroll County, AR",486,490,649,846,867,AR,27446
5,NCNTY05017N05017,"Chicot County, AR",431,434,584,861,1034,AR,11800
5,NCNTY05019N05019,"Clark County, AR",464,467,616,817,823,AR,22995
5,NCNTY05021N05021,"Clay County, AR",429,432,584,758,800,AR,16083
5,NCNTY05023N05023,"Cleburne County, AR",497,500,641,842,983,AR,25970
5,NCNTY05027N05027,"Columbia County, AR",429,432,584,822,825,AR,24552
5,NCNTY05029N05029,"Conway County, AR",518,521,705,878,1143,AR,21273
5,NCNTY05037N05037,"Cross County, AR",513,517,667,918,1113,AR,17870
5,NCNTY05039N05039,"Dallas County, AR",455,493,584,861,1021,AR,8116
5,NCNTY05041N05041,"Desha County, AR",430,433,586,805,1008,AR,13008
5,NCNTY05043N05043,"Drew County, AR",448,451,610,877,1080,AR,18509
5,NCNTY05049N05049,"Fulton County, AR",429,432,584,727,884,AR,12245
5,NCNTY05055N05055,"Greene County, AR",417,495,666,924,1180,AR,42090
5,NCNTY05057N05057,"Hempstead County, AR",473,495,606,755,985,AR,22609
5,NCNTY05059N05059,"Hot Spring County, AR",491,531,630,839,974,AR,32923
5,NCNTY05061N05061,"Howard County, AR",390,432,584,767,945,AR,13789
5,NCNTY05063N05063,"Independence County, AR",460,463,626,793,1005,AR,36647
5,NCNTY05065N05065,"Izard County, AR",429,432,584,727,802,AR,13696
5,NCNTY05067N05067,"Jackson County, AR",432,435,588,866,1041,AR,17997
5,NCNTY05071N05071,"Johnson County, AR",462,465,624,777,956,AR,25540
5,NCNTY05073N05073,"Lafayette County, AR",429,432,584,861,884,AR,7645
5,NCNTY05075N05075,"Lawrence County, AR",429,432,584,777,929,AR,17415
5,NCNTY05077N05077,"Lee County, AR",487,526,624,799,834,AR,10424
5,NCNTY05081N05081,"Little River County, AR",418,432,584,727,1034,AR,13171
5,NCNTY05083N05083,"Logan County, AR",347,432,584,727,814,AR,22353
5,NCNTY05089N05089,"Marion County, AR",430,433,586,730,858,AR,16653
5,NCNTY05093N05093,"Mississippi County, AR",398,471,637,847,940,AR,46480
5,NCNTY05095N05095,"Monroe County, AR",450,453,613,833,1054,AR,8149
5,NCNTY05097N05097,"Montgomery County, AR",495,498,674,839,1020,AR,9487
5,NCNTY05099N05099,"Nevada County, AR",434,437,591,763,1026,AR,8997
5,NCNTY05101N05101,"Newton County, AR",429,432,584,727,884,AR,8330
5,NCNTY05103N05103,"Ouachita County, AR",450,452,584,752,780,AR,26120
5,NCNTY05107N05107,"Phillips County, AR",443,446,604,890,985,AR,21757
5,NCNTY05109N05109,"Pike County, AR",443,446,584,727,884,AR,11291
5,NCNTY05113N05113,"Polk County, AR",448,451,584,782,785,AR,20662
5,NCNTY05115N05115,"Pope County, AR",483,486,650,887,1151,AR,61754
5,NCNTY05117N05117,"Prairie County, AR",455,493,584,861,1034,AR,8715
5,NCNTY05121N05121,"Randolph County, AR",430,433,586,748,887,AR,17969
5,NCNTY05123N05123,"St. Francis County, AR",479,500,593,825,949,AR,28258
5,NCNTY05127N05127,"Scott County, AR",435,438,592,737,896,AR,11233
