State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",493,544,676,893,1050,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",487,580,748,984,1011,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",656,729,813,1032,1062,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",384,531,591,742,850,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",498,500,599,748,817,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",602,635,726,966,1143,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",477,535,616,806,836,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",464,546,618,790,903,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",329,454,504,602,621,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",511,513,623,794,985,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",428,541,657,842,869,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",554,603,712,975,1070,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",638,683,771,1010,1192,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",587,694,781,1036,1368,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",532,615,796,1023,1055,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",526,632,752,997,1142,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",415,416,499,618,636,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",360,407,499,598,644,AL,11714
1,NCNTY01013N01013,"Butler County, AL",360,407,499,598,644,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",489,531,589,799,824,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",414,415,499,594,613,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",544,574,656,832,1111,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",324,448,499,597,877,AL,27867
1,NCNTY01027N01027,"Clay County, AL",415,417,499,617,768,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",443,445,533,653,813,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",431,492,557,762,978,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",519,548,626,794,1060,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",467,516,575,779,875,AL,12202
1,NCNTY01039N01039,"Covington County, AL",419,420,504,687,709,AL,37631
1,NCNTY01041N01041,"Crenshaw County, AL",392,444,544,652,702,AL,13665
1,NCNTY01043N01043,"Cullman County, AL",457,471,551,741,762,AL,77483
1,NCNTY01045N01045,"Dale County, AL",401,462,519,749,909,AL,49129
1,NCNTY01047N01047,"Dallas County, AL",355,493,547,690,740,AL,46365
1,NCNTY01049N01049,"DeKalb County, AL",388,412,520,692,711,AL,64452
1,NCNTY01053N01053,"Escambia County, AL",432,439,521,650,799,AL,38440
1,NCNTY01057N01057,"Fayette County, AL",342,397,522,761,919,AL,18495
1,NCNTY01059N01059,"Franklin County, AL",325,421,499,673,876,AL,31223
1,NCNTY01071N01071,"Jackson County, AL",422,457,508,647,892,AL,53926
1,NCNTY01075N01075,"Lamar County, AL",334,415,499,666,875,AL,15904
1,NCNTY01087N01087,"Macon County, AL",446,480,618,824,852,AL,24105
1,NCNTY01091N01091,"Marengo County, AL",430,457,518,671,689,AL,22539
1,NCNTY01093N01093,"Marion County, AL",324,379,499,634,877,AL,31214
1,NCNTY01095N01095,"Marshall County, AL",447,479,540,729,803,AL,82231
1,NCNTY01099N01099,"Monroe County, AL",414,450,499,691,763,AL,24324
1,NCNTY01105N01105,"Perry County, AL",414,440,499,646,664,AL,11861
1,NCNTY01107N01107,"Pickens County, AL",363,450,542,724,950,AL,20949
1,NCNTY01109N01109,"Pike County, AL",419,451,526,675,697,AL,29605
1,NCNTY01111N01111,"Randolph County, AL",436,438,524,648,806,AL,22380
1,NCNTY01119N01119,"Sumter County, AL",384,490,573,765,1004,AL,14798
1,NCNTY01121N01121,"Talladega County, AL",463,464,556,750,980,AL,80321
1,NCNTY01123N01123,"Tallapoosa County, AL",399,408,500,705,819,AL,41475
1,NCNTY01129N01129,"Washington County, AL",419,443,506,642,857,AL,18097
1,NCNTY01131N01131,"Wilcox County, AL",414,437,499,633,845,AL,13183
1,NCNTY01133N01133,"Winston County, AL",333,379,499,597,615,AL,24843
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",740,842,1056,1521,1852,AK,260283
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",635,739,943,1341,1629,AK,59322
2,METRO21820M21820,"Fairbanks, AK MSA",698,840,1074,1555,1642,AK,82840
2,NCNTY02013N02013,"Aleutians East Borough, AK",405,461,584,722,744,AK,2697
2,NCNTY02016N02016,"Aleutians West Census Area, AK",1059,1204,1526,1886,1944,AK,5465
2,NCNTY02050N02050,"Bethel Census Area, AK",943,1181,1433,1714,2516,AK,16006
2,NCNTY02060N02060,"Bristol Bay Borough, AK",692,787,997,1232,1270,AK,1258
2,NCNTY02068N02068,"Denali Borough, AK",709,875,1092,1533,1726,AK,1893
2,NCNTY02070N02070,"Dillingham Census Area, AK",695,790,1001,1237,1275,AK,4922
2,NCNTY02100N02100,"Haines Borough, AK",476,587,733,1029,1159,AK,2392
2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",697,793,1005,1242,1280,AK,2577
2,NCNTY02110N02110,"Juneau City and Borough, AK",783,959,1206,1629,2031,AK,30711
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",586,670,815,1117,1431,AK,49691
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",656,837,1006,1466,1767,AK,14070
2,NCNTY02150N02150,"Kodiak Island Borough, AK",651,762,1003,1441,1526,AK,13913
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",481,547,693,857,883,AK,1823
2,NCNTY02180N02180,"Nome Census Area, AK",893,1147,1317,1590,1637,AK,9196
2,NCNTY02185N02185,"North Slope Borough, AK",686,801,1053,1259,1296,AK,7385
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",827,940,1191,1472,1517,AK,7208
2,NCNTY02195N02195,"Petersburg Census Area, AK",761,865,1096,1355,1396,AK,4344.6
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",563,640,811,1002,1033,AK,6146
2,NCNTY02220N02220,"Sitka City and Borough, AK",770,887,1059,1543,1859,AK,8835
2,NCNTY02230N02230,"Skagway Municipality, AK",728,828,1049,1297,1336,AK,644.25
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",596,735,918,1289,1451,AK,6174
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",520,642,802,1126,1268,AK,10195
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",499,567,719,889,916,AK,7028
2,NCNTY02275N02275,"Wrangell City and Borough, AK",532,605,767,948,977,AK,1520.61
2,NCNTY02282N02282,"Yakutat City and Borough, AK",691,786,996,1231,1269,AK,808
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",513,583,739,913,941,AK,6551
4,METRO22380M22380,"Flagstaff, AZ MSA",707,841,950,1222,1541,AZ,116320
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",636,699,815,1127,1258,AZ,155032
4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",619,721,870,1267,1483,AZ,3251876
4,METRO39140M39140,"Prescott, AZ MSA",647,668,843,1228,1265,AZ,167517
4,METRO46060M46060,"Tucson, AZ MSA",570,670,860,1238,1309,AZ,843746
4,METRO49740M49740,"Yuma, AZ MSA",564,665,795,1127,1382,AZ,160026
4,NCNTY04001N04001,"Apache County, AZ",442,541,640,888,1125,AZ,69423
