state,cbsasub18,areaname18,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,state_alpha,pop2010,hu2010,cntyname,name
48,METRO10180M10180,"Abilene, TX MSA",599,642,854,1080,1405,TX,165252,69721,Callahan County,Callahan County
72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",364,374,430,580,679,PR,306292,138855,Aguada Municipio,Aguada Municipio
72,METRO10380N72141,"Utuado Municipio, PR HUD Metro FMR Area",323,325,432,542,588,PR,33149,14192,Utuado Municipio,Utuado Municipio
39,METRO10420M10420,"Akron, OH MSA",575,674,885,1123,1205,OH,703200,312581,Portage County,Portage County
13,METRO10500M10500,"Albany, GA MSA",601,630,766,1016,1085,GA,157308,66060,Baker County,Baker County
41,METRO10540M10540,"Albany, OR MSA",608,717,953,1386,1573,OR,116672,48821,Linn County,Linn County
36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",747,894,1102,1382,1501,NY,870716,393297,Albany County,Albany County
35,METRO10740M10740,"Albuquerque, NM MSA",598,760,938,1364,1626,NM,887077,374404,Bernalillo County,Bernalillo County
22,METRO10780M10780,"Alexandria, LA MSA",546,634,792,1046,1226,LA,153922,64570,Grant Parish,Grant Parish
42,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",711,877,1115,1438,1519,PA,712481,297275,Carbon County,Carbon County
34,METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",933,1092,1314,1647,1940,NJ,108692,44925,Warren County,Warren County
42,METRO11020M11020,"Altoona, PA MSA",629,671,834,1046,1136,PA,127089,56276,Blair County,Blair County
48,METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",554,665,869,1154,1327,TX,249881,102546,Armstrong County,Armstrong County
48,METRO11100N48359,"Oldham County, TX HUD Metro FMR Area",565,678,886,1111,1354,TX,2052,841,Oldham County,Oldham County
19,METRO11180M11180,"Ames, IA MSA",636,771,930,1267,1567,IA,89542,36789,Story County,Story County
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",978,1097,1417,2061,2496,AK,291826,113032,Anchorage Municipality,Anchorage Municipality
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",777,877,1167,1698,2055,AK,88995,41329,Matanuska-Susitna Borough,Matanuska-Susitna Borough
26,METRO11460M11460,"Ann Arbor, MI MSA",940,971,1184,1594,1977,MI,344791,147573,Washtenaw County,Washtenaw County
1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",507,542,721,942,1099,AL,118572,53289,Calhoun County,Calhoun County
55,METRO11540M11540,"Appleton, WI MSA",603,691,886,1289,1302,WI,225666,92844,Calumet County,Calumet County
72,METRO11640MM0470,"Arecibo, PR HUD Metro FMR Area",348,350,455,601,683,PR,173552,75049,Arecibo Municipio,Arecibo Municipio
72,METRO11640N72923,"Quebradillas Municipio, PR HUD Metro FMR Area",363,374,429,611,649,PR,25919,10754,Quebradillas Municipio,Quebradillas Municipio
37,METRO11700M11700,"Asheville, NC HUD Metro FMR Area",712,717,901,1217,1587,NC,365822,178683,Buncombe County,Buncombe County
37,METRO11700N37087,"Haywood County, NC HUD Metro FMR Area",540,645,764,980,1313,NC,59036,34954,Haywood County,Haywood County
13,METRO12020M12020,"Athens-Clarke County, GA MSA",654,711,836,1125,1444,GA,192541,81719,Clarke County,Clarke County
13,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",930,957,1099,1432,1760,GA,5176116,2126420,Barrow County,Barrow County
13,METRO12060N13035,"Butts County, GA HUD Metro FMR Area",676,680,905,1140,1493,GA,23655,9357,Butts County,Butts County
13,METRO12060N13143,"Haralson County, GA HUD Metro FMR Area",660,664,853,1069,1275,GA,28780,12287,Haralson County,Haralson County
13,METRO12060N13171,"Lamar County, GA HUD Metro FMR Area",574,578,743,1008,1012,GA,18317,7474,Lamar County,Lamar County
13,METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",587,591,786,1143,1242,GA,21992,9957,Meriwether County,Meriwether County
13,METRO12060N13211,"Morgan County, GA HUD Metro FMR Area",763,785,901,1311,1410,GA,17868,7472,Morgan County,Morgan County
34,METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",951,1090,1401,1852,2120,NJ,274549,126647,Atlantic County,Atlantic County
1,METRO12220M12220,"Auburn-Opelika, AL MSA",598,680,889,1190,1439,AL,140247,62391,Lee County,Lee County
